48	gs://singlem-sra-nextflow/pipeline5_workdir/aa/2f878644cc3e4226921d8468200704	1	14m 49s	FAILED
27	gs://singlem-sra-nextflow/pipeline5_workdir/14/02924f052b946e778d22571bbf2692	1	17m 40s	COMPLETED
52	gs://singlem-sra-nextflow/pipeline5_workdir/3a/4d810e091c656e1429034e385371f6	1	2h 22m 23s	COMPLETED
51	gs://singlem-sra-nextflow/pipeline5_workdir/b1/7817bfdf64ddd898c02481365aa7aa	1	2h 56m 55s	COMPLETED
53	gs://singlem-sra-nextflow/pipeline5_workdir/24/3fe20c109c9b91e9212cfa39ebec8d	1	22m 10s	COMPLETED
54	gs://singlem-sra-nextflow/pipeline5_workdir/42/9e0f055b2ba52de56adba03de3e09d	1	18m 54s	COMPLETED
55	gs://singlem-sra-nextflow/pipeline5_workdir/c8/cd2d1ca8f2d3c58af2fcf01fd3c4ef	1	25m 36s	COMPLETED
42	gs://singlem-sra-nextflow/pipeline5_workdir/73/ba6b859cca9c20954fafe28b27dcc8	1	5m 35s	COMPLETED
44	gs://singlem-sra-nextflow/pipeline5_workdir/68/79b1e1dba9d2c5dbafd31188ab238b	1	30m 31s	COMPLETED
43	gs://singlem-sra-nextflow/pipeline5_workdir/46/064c0b2a3cac11ff46c53f22dcfec0	1	55m 4s	COMPLETED
45	gs://singlem-sra-nextflow/pipeline5_workdir/fd/b166adb459ff4c1bb77cb5a2d0e375	1	8m 1s	COMPLETED
57	gs://singlem-sra-nextflow/pipeline5_workdir/9e/3e6c6f7703ad36f2d38d6a05449f58	1	604ms	COMPLETED
58	gs://singlem-sra-nextflow/pipeline5_workdir/80/6506701f30fcaaa47be30e6924ce73	1	8m 53s	COMPLETED
49	gs://singlem-sra-nextflow/pipeline5_workdir/0c/bc1c3baa6ee94ff97648cd30daa4a9	1	1h 9m 58s	COMPLETED
50	gs://singlem-sra-nextflow/pipeline5_workdir/00/81130d161ed01949f1b0eac69f0e4d	1	37m 54s	COMPLETED
59	gs://singlem-sra-nextflow/pipeline5_workdir/54/b1dcd08ece2e5e229c30bc190a2d59	1	1h 36m 16s	COMPLETED
60	gs://singlem-sra-nextflow/pipeline5_workdir/7f/5483222a3da3dffd9d44c5d56ebadf	1	47m	COMPLETED
61	gs://singlem-sra-nextflow/pipeline5_workdir/37/cbec24f2ea91b39e5d577c0daef557	1	18m 56s	COMPLETED
66	gs://singlem-sra-nextflow/pipeline5_workdir/a0/df573ba8fbb910b6a32f58afe38e41	1	35m 47s	COMPLETED
67	gs://singlem-sra-nextflow/pipeline5_workdir/0c/d3a5fa9f58a409fc2767b00bd9ba35	1	49m 49s	COMPLETED
56	gs://singlem-sra-nextflow/pipeline5_workdir/ee/8f25531e88a185656980ea0ac2007d	1	1h 5m 26s	COMPLETED
70	gs://singlem-sra-nextflow/pipeline5_workdir/c8/372cf514c7e8f20a4aa9a9baa5707f	1	38m 19s	COMPLETED
71	gs://singlem-sra-nextflow/pipeline5_workdir/40/b3a148968195d1babe482ed0517bcc	1	46m 2s	COMPLETED
72	gs://singlem-sra-nextflow/pipeline5_workdir/56/c6e1646e894b50ffbb43e273864416	1	1h 12m 46s	COMPLETED
73	gs://singlem-sra-nextflow/pipeline5_workdir/c6/57394fea1cc98f055e55e69daecc7d	1	1h 17m 33s	COMPLETED
74	gs://singlem-sra-nextflow/pipeline5_workdir/b7/274cff47acf2bb2397dba8689f6f23	1	25m 38s	COMPLETED
63	gs://singlem-sra-nextflow/pipeline5_workdir/de/7de6bc34ae66942147f51a9d95bf14	1	1h 39m 4s	COMPLETED
64	gs://singlem-sra-nextflow/pipeline5_workdir/5b/4ba0b331727a3259c37eeb7d4d0c67	1	42.9s	COMPLETED
62	gs://singlem-sra-nextflow/pipeline5_workdir/2a/9084ac10be134887bbb9d1127bd000	1	563ms	COMPLETED
65	gs://singlem-sra-nextflow/pipeline5_workdir/c0/38b4853c89131161d72eaf8c2bdf8a	1	1m 27s	COMPLETED
76	gs://singlem-sra-nextflow/pipeline5_workdir/a4/b095ae3b57f7a04f930d25c746622d	1	3m 25s	COMPLETED
77	gs://singlem-sra-nextflow/pipeline5_workdir/39/3e0b17b80322781d1b3efa4d095e35	1	40.7s	COMPLETED
78	gs://singlem-sra-nextflow/pipeline5_workdir/49/8e02c7915a287dbc4f783a4e2e1889	1	5m 58s	COMPLETED
68	gs://singlem-sra-nextflow/pipeline5_workdir/58/b7fd5789d02d71a6572792acfac334	1	1h 36s	COMPLETED
69	gs://singlem-sra-nextflow/pipeline5_workdir/f7/6cab176f690636bf0ef7486726931d	1	27m 44s	COMPLETED
79	gs://singlem-sra-nextflow/pipeline5_workdir/2d/7f193e92cde105ac13f82e836caad6	1	14m 43s	COMPLETED
80	gs://singlem-sra-nextflow/pipeline5_workdir/d1/6a9daf0104b9be6acda64b8f9efa7c	1	12m 35s	COMPLETED
85	gs://singlem-sra-nextflow/pipeline5_workdir/13/7ad5abce72905e5cb4dcfa87285a42	1	1h 17m 36s	COMPLETED
86	gs://singlem-sra-nextflow/pipeline5_workdir/23/e504f81475d8510902667f7c014840	1	1h 12m 6s	COMPLETED
87	gs://singlem-sra-nextflow/pipeline5_workdir/f0/ac481c5c747503037707dfe29d346b	1	35m 41s	COMPLETED
75	gs://singlem-sra-nextflow/pipeline5_workdir/47/4bec6b3b38daf9cc29acd3448d95e6	1	2h 19m 39s	COMPLETED
90	gs://singlem-sra-nextflow/pipeline5_workdir/c0/580178b5d3f385495ee18ab04ceae6	1	37m 15s	COMPLETED
91	gs://singlem-sra-nextflow/pipeline5_workdir/ff/2ab7227914e2d61f1d70f253bf4567	1	47m 41s	COMPLETED
92	gs://singlem-sra-nextflow/pipeline5_workdir/df/cde7246d1424192c5c9f3ddb79d405	1	2m 10s	COMPLETED
93	gs://singlem-sra-nextflow/pipeline5_workdir/13/1eebd0de08819e83b2e3c48582fa3c	1	14m 46s	COMPLETED
94	gs://singlem-sra-nextflow/pipeline5_workdir/e1/c176143d662f37aa5c9ed73a01264f	1	15m 30s	COMPLETED
84	gs://singlem-sra-nextflow/pipeline5_workdir/97/6c91462622e4d2b7d98b1e33f97d98	1	1h 23m 47s	COMPLETED
83	gs://singlem-sra-nextflow/pipeline5_workdir/6f/8489a03e2cf831cf387dec40d9fba2	1	1h 46m 12s	COMPLETED
82	gs://singlem-sra-nextflow/pipeline5_workdir/99/74eac7633662315ed737a4e5572090	1	33m 33s	COMPLETED
81	gs://singlem-sra-nextflow/pipeline5_workdir/af/c794c551cc2a97803665d5fad85e64	1	1h 34s	COMPLETED
96	gs://singlem-sra-nextflow/pipeline5_workdir/16/daa3cf6d966512f2799056170c5b56	1	1h 7m 49s	COMPLETED
97	gs://singlem-sra-nextflow/pipeline5_workdir/4b/55521f9bb58b5ef767c4dbd8e6947a	1	10m 41s	COMPLETED
88	gs://singlem-sra-nextflow/pipeline5_workdir/03/9d7a0e8e63f61f1ce6a4f9bc92bae0	1	3h 8m 18s	COMPLETED
89	gs://singlem-sra-nextflow/pipeline5_workdir/20/0387823a6701765bc2ad91aaa3233f	1	51m 50s	COMPLETED
98	gs://singlem-sra-nextflow/pipeline5_workdir/37/1338a7b09e0d98bcae84e8da00139d	1	3m 25s	COMPLETED
99	gs://singlem-sra-nextflow/pipeline5_workdir/11/fde430169d0a8bccc0381d4c6df76d	1	12m 41s	COMPLETED
100	gs://singlem-sra-nextflow/pipeline5_workdir/8b/8f10cabac348761f45f0493cd55ab5	1	24m 47s	COMPLETED
95	gs://singlem-sra-nextflow/pipeline5_workdir/3e/ad4fc4ed480f814b4f77ad187c4eec	1	39m 56s	COMPLETED
101	gs://singlem-sra-nextflow/pipeline5_workdir/60/7c94de84c39abcc6e65d7470a0d274	2	17m 29s	COMPLETED
102	gs://singlem-sra-nextflow/pipeline5_workdir/ca/a85f497e42d50af4ebdc826d94ac28	2	9m 12s	COMPLETED
